Breed,Weight_kg
Bloodhound,41.8
Boston Terrier,8.3
French Bulldog,12.7
Great Dane,62.7
Old English Sheepdog,37.1
Boxer,23.5
Lagotto Romagnolo,13.0
Brussels Griffon,4.1
Weimaraner,33.1
German Wirehaired Pointer,28.2
Chihuahua,2.7
Pomeranian,2.5
Papillon,4.0
Rottweiler,52.0
Pomeranian,2.5
Flat-Coated Retriever,29.9
Pug,7.2
Poodle (Toy),2.0
Nova Scotia Duck Tolling Retriever,18.1
Bulldog,19.8
Labrador Retriever,30.7
Bulldog,21.1
Rottweiler,45.7
Chinese Shar-Pei,22.5
Airedale Terrier,27.6
Rottweiler,57.8
Whippet,12.2
Poodle (Toy),2.3
Labrador Retriever,31.2
Alaskan Malamute,36.5
Shih Tzu,5.1
Nova Scotia Duck Tolling Retriever,18.4
Mastiff,93.8
Doberman Pinscher,33.1
Pekingese,6.4
Bichon Frise,7.2
Portuguese Water Dog,25.1
Akita,48.2
Poodle (Miniature),5.8
Leonberger,50.2
Collie,30.5
Labrador Retriever,30.3
Miniature Schnauzer,6.7
Poodle (Standard),25.9
Maltese,3.2
Portuguese Water Dog,22.6
Rottweiler,49.6
Giant Schnauzer,34.9
Labrador Retriever,30.4
Bull Terrier,27.3
Boston Terrier,7.6
Miniature Schnauzer,7.1
Miniature Schnauzer,7.7
Cairn Terrier,6.2
German Shepherd Dog,31.5
Labrador Retriever,29.0
Labrador Retriever,32.6
German Shorthaired Pointer,29.8
Bullmastiff,53.3
Labrador Retriever,31.2
American Staffordshire Terrier,27.6
Chinese Shar-Pei,24.3
Alaskan Malamute,37.9
Labrador Retriever,35.7
Rottweiler,50.0
Cavalier King Charles Spaniel,7.0
Scottish Terrier,9.3
Doberman Pinscher,34.5
Whippet,16.5
Siberian Husky,20.5
Chinese Shar-Pei,25.9
Giant Schnauzer,31.1
Bouvier des Flandres,39.9
Boxer,22.0
West Highland White Terrier,7.5
Bulldog,19.8
Miniature Pinscher,4.1
Lagotto Romagnolo,15.7
Pug,7.2
Old English Sheepdog,37.0
Labrador Retriever,31.3
Boykin Spaniel,15.0
Old English Sheepdog,39.6
Dalmatian,27.5
Flat-Coated Retriever,27.6
Coton de Tulear,5.6
German Wirehaired Pointer,26.9
Bulldog,19.9
Labrador Retriever,29.3
Belgian Malinois,31.5
Lhasa Apso,7.2
Chow Chow,25.4
Labrador Retriever,32.7
Cavalier King Charles Spaniel,7.3
Portuguese Water Dog,23.1
Cardigan Welsh Corgi,12.4
French Bulldog,12.7
Great Dane,65.3
German Shorthaired Pointer,29.1
Lagotto Romagnolo,15.4
West Highland White Terrier,8.0
Soft Coated Wheaten Terrier,16.0
Miniature American Shepherd,14.3
Labrador Retriever,34.0
Poodle (Miniature),5.8
Golden Retriever,30.8
Labrador Retriever,28.2
Basset Hound,21.3
Pug,7.4
German Shorthaired Pointer,24.3
Anatolian Shepherd Dog,52.5
Samoyed,21.6
Golden Retriever,31.2
Dachshund,8.3
Giant Schnauzer,28.9
German Shorthaired Pointer,25.0
Bulldog,20.5
Brittany,15.7
Siberian Husky,18.9
Vizsla,24.1
Labrador Retriever,31.7
Dachshund,8.5
Rottweiler,48.1
Chesapeake Bay Retriever,30.2
Miniature American Shepherd,14.2
French Bulldog,12.7
Anatolian Shepherd Dog,56.5
Rottweiler,47.0
Irish Wolfhound,52.3
Golden Retriever,29.1
Boxer,18.1
Doberman Pinscher,36.2
Bulldog,21.2
Poodle (Miniature),5.9
Labrador Retriever,30.0
Labrador Retriever,28.3
Bulldog,19.8
Havanese,5.1
Saint Bernard,72.9
Lhasa Apso,6.8
Siberian Husky,25.7
Boykin Spaniel,16.0
Siberian Husky,19.6
Cavalier King Charles Spaniel,6.9
Poodle (Miniature),5.3
Irish Setter,28.0
Havanese,5.0
Great Dane,63.5
Boxer,21.0
Dalmatian,27.5
Leonberger,63.1
Golden Retriever,29.1
Brittany,15.3
Vizsla,22.9
Maltese,3.2
Shih Tzu,6.0
Mastiff,84.3
Golden Retriever,28.1
Poodle (Standard),22.2
Yorkshire Terrier,3.2
Chinese Crested,4.4
Tibetan Terrier,9.0
Labrador Retriever,30.5
Pug,7.3
Papillon,2.9
Boston Terrier,7.2
Great Dane,57.3
German Shepherd Dog,29.7
Labrador Retriever,30.9
Bull Terrier,28.7
French Bulldog,12.7
Brittany,15.3
Rhodesian Ridgeback,36.4
Labrador Retriever,32.1
Old English Sheepdog,42.0
Shetland Sheepdog,9.9
Dogue de Bordeaux,47.4
Dalmatian,28.4
Golden Retriever,29.7
Siberian Husky,25.8
German Shepherd Dog,38.3
Bullmastiff,55.9
Siberian Husky,23.4
Chow Chow,25.0
Border Collie,21.6
Boxer,22.6
Akita,41.9
Soft Coated Wheaten Terrier,14.7
Leonberger,63.4
Golden Retriever,30.3
Russell Terrier,5.5
Leonberger,67.1
Papillon,3.0
Weimaraner,28.3
Labrador Retriever,28.4
Miniature American Shepherd,15.3
Labrador Retriever,28.3
Staffordshire Bull Terrier,12.9
Airedale Terrier,31.1
Basset Hound,23.4
Maltese,3.2
Labrador Retriever,29.2
Labrador Retriever,29.0
Poodle (Miniature),5.6
Vizsla,21.2
Labrador Retriever,31.6
Great Dane,69.5
Chesapeake Bay Retriever,30.1
Boston Terrier,9.3
Mastiff,97.1
Doberman Pinscher,32.7
Labrador Retriever,30.7
Poodle (Toy),2.3
Golden Retriever,26.6
German Shepherd Dog,28.7
Weimaraner,30.8
Pomeranian,1.8
Akita,49.9
Russell Terrier,5.5
Golden Retriever,29.3
Bulldog,21.0
Havanese,4.5
Golden Retriever,29.8
Poodle (Standard),25.0
Dachshund,11.5
Lagotto Romagnolo,13.9
Doberman Pinscher,39.1
Poodle (Toy),2.1
Chinese Crested,4.8
Collie,30.8
Russell Terrier,4.8
Anatolian Shepherd Dog,53.2
Maltese,3.2
English Springer Spaniel,18.8
Australian Shepherd,22.5
Pomeranian,2.4
Papillon,3.3
Great Pyrenees,41.7
Bernese Mountain Dog,36.6
Dogue de Bordeaux,45.7
Rhodesian Ridgeback,34.7
Poodle (Miniature),5.4
Bernese Mountain Dog,45.3
Cocker Spaniel,11.7
Wirehaired Pointing Griffon,24.0
Irish Wolfhound,51.2
Vizsla,22.7
Boxer,17.0
Poodle (Standard),27.8
French Bulldog,12.7
Golden Retriever,28.3
Australian Shepherd,23.3
Belgian Malinois,23.1
Poodle (Miniature),6.0
Bernese Mountain Dog,39.2
Doberman Pinscher,35.4
Scottish Terrier,8.5
Bloodhound,46.1
Australian Cattle Dog,19.1
Poodle (Miniature),6.3
Chesapeake Bay Retriever,28.5
Miniature Pinscher,3.7
Standard Schnauzer,19.5
French Bulldog,12.7
Chinese Crested,5.0
Bichon Frise,7.2
Shetland Sheepdog,9.7
Russell Terrier,6.3
Border Terrier,6.0
West Highland White Terrier,7.8
Lagotto Romagnolo,13.0
German Shepherd Dog,28.8
Akita,44.8
Cocker Spaniel,13.6
Bulldog,20.3
Irish Wolfhound,50.7
Shih Tzu,5.8
Akita,41.7
Doberman Pinscher,35.9
Standard Schnauzer,20.7
Cocker Spaniel,11.7
Shetland Sheepdog,8.7
Poodle (Toy),2.3
German Shepherd Dog,31.4
Labrador Retriever,31.5
Scottish Terrier,8.4
Boxer,18.1
Basset Hound,24.8
Miniature American Shepherd,16.2
Golden Retriever,28.9
Poodle (Miniature),5.3
German Shorthaired Pointer,24.9
Brussels Griffon,4.2
Rottweiler,52.1
Pembroke Welsh Corgi,13.0
Bulldog,21.0
Weimaraner,32.0
Bulldog,21.6
Italian Greyhound,3.7
Pug,7.6
Chinese Shar-Pei,22.7
Poodle (Toy),2.2
Dalmatian,27.9
Brussels Griffon,4.0
Shetland Sheepdog,8.6
Cocker Spaniel,11.3
Collie,28.9
Cocker Spaniel,11.9
English Cocker Spaniel,13.3
Chow Chow,27.9
Soft Coated Wheaten Terrier,14.8
Golden Retriever,29.6
Alaskan Malamute,34.0
Poodle (Miniature),5.4
Anatolian Shepherd Dog,51.0
Poodle (Miniature),6.1
Saint Bernard,68.9
Lhasa Apso,6.9
Dogue de Bordeaux,46.3
Border Collie,20.6
Dogue de Bordeaux,47.1
Labrador Retriever,29.4
English Springer Spaniel,19.9
German Shepherd Dog,30.1
Irish Setter,29.1
Basset Hound,24.6
Tibetan Terrier,11.7
Chow Chow,25.2
Bull Terrier,25.7
Basenji,10.2
Labrador Retriever,31.3
Brittany,15.9
Golden Retriever,31.5
Dachshund,6.9
Bulldog,20.1
Basenji,10.8
German Shepherd Dog,26.2
French Bulldog,12.7
Lagotto Romagnolo,13.1
Dachshund,8.6
Beagle,9.7
German Shepherd Dog,32.3
Pomeranian,2.0
Poodle (Toy),2.2
Chow Chow,26.5
Weimaraner,32.4
Shetland Sheepdog,9.6
French Bulldog,12.7
German Shorthaired Pointer,24.9
Portuguese Water Dog,20.7
Belgian Malinois,26.4
German Shepherd Dog,31.7
Vizsla,23.9
German Shepherd Dog,33.1
Poodle (Toy),2.4
West Highland White Terrier,8.5
Weimaraner,35.9
Cocker Spaniel,11.0
Chihuahua,2.7
Newfoundland,56.0
Soft Coated Wheaten Terrier,15.9
English Cocker Spaniel,13.8
Greater Swiss Mountain Dog,52.9
Doberman Pinscher,32.9
German Shepherd Dog,34.7
Collie,30.8
American Staffordshire Terrier,26.4
Belgian Malinois,27.5
Samoyed,21.5
Maltese,3.2
Akita,41.6
Bichon Frise,6.3
Labrador Retriever,32.9
Golden Retriever,31.1
Giant Schnauzer,32.4
Giant Schnauzer,30.6
Miniature Schnauzer,7.3
Boykin Spaniel,16.0
Siberian Husky,22.1
Basenji,10.1
Flat-Coated Retriever,29.1
Labrador Retriever,32.4
Bernese Mountain Dog,45.1
Chinese Crested,4.7
Collie,27.0
Poodle (Miniature),5.6
Dogue de Bordeaux,47.0
Rottweiler,45.7
Brittany,16.3
Poodle (Toy),2.1
Havanese,4.2
Rat Terrier,8.7
Saint Bernard,67.9
Belgian Malinois,27.0
Miniature American Shepherd,14.4
Wirehaired Pointing Griffon,26.1
German Shorthaired Pointer,24.7
Rottweiler,39.7
Bull Terrier,26.1
Labrador Retriever,26.9
Alaskan Malamute,34.0
Scottish Terrier,9.0
Akita,51.7
Border Terrier,5.9
Cardigan Welsh Corgi,14.0
Boston Terrier,7.6
Bichon Frise,6.8
Cardigan Welsh Corgi,13.0
Portuguese Water Dog,19.3
Chihuahua,2.7
Portuguese Water Dog,23.5
Miniature American Shepherd,14.3
Miniature Pinscher,4.2
Whippet,15.5
Beagle,10.9
Poodle (Standard),24.7
Boykin Spaniel,16.4
Scottish Terrier,9.2
Scottish Terrier,8.8
Chow Chow,24.7
Boxer,25.2
Boxer,20.4
Bullmastiff,50.3
Staffordshire Bull Terrier,15.8
Maltese,3.2
Havanese,4.9
Poodle (Miniature),6.2
German Shepherd Dog,25.5
Russell Terrier,5.7
Irish Wolfhound,50.2
Golden Retriever,30.4
German Shepherd Dog,34.2
German Shepherd Dog,34.1
Dalmatian,24.2
Poodle (Toy),2.3
Border Terrier,6.1
Airedale Terrier,24.8
Australian Cattle Dog,19.3
Beagle,8.2
Belgian Malinois,26.1
Norwegian Elkhound,23.1
Airedale Terrier,27.2
Russell Terrier,5.5
Chihuahua,2.7
Boykin Spaniel,15.7
Wirehaired Pointing Griffon,22.4
Siberian Husky,19.0
French Bulldog,12.7
Leonberger,63.6
Miniature American Shepherd,12.3
Bernese Mountain Dog,38.6
Doberman Pinscher,44.0
Shih Tzu,5.2
Nova Scotia Duck Tolling Retriever,18.5
Vizsla,23.6
Yorkshire Terrier,3.2
Dachshund,9.4
Miniature Pinscher,4.1
Bloodhound,44.5
Golden Retriever,29.8
German Shepherd Dog,32.2
Border Collie,19.8
Lagotto Romagnolo,13.8
Border Collie,19.5
Poodle (Miniature),5.7
German Wirehaired Pointer,27.2
Scottish Terrier,8.6
English Cocker Spaniel,12.9
Bulldog,20.3
Rottweiler,48.0
Boxer,20.8
German Shepherd Dog,33.2
Boxer,17.8
Bulldog,18.9
Doberman Pinscher,38.6
Weimaraner,32.7
Brittany,15.4
Miniature Schnauzer,6.5
Maltese,3.2
American Staffordshire Terrier,23.5
Poodle (Standard),24.2
Labrador Retriever,28.3
Mastiff,70.7
Brittany,17.2
Coton de Tulear,6.1
Great Pyrenees,44.1
Poodle (Miniature),5.7
Bulldog,20.1
Bichon Frise,7.5
Cavalier King Charles Spaniel,7.0
Portuguese Water Dog,22.5
Brussels Griffon,4.0
Bulldog,20.8
Rat Terrier,7.5
Cocker Spaniel,12.2
Cairn Terrier,6.1
Samoyed,23.1
French Bulldog,12.7
Labrador Retriever,29.5
Old English Sheepdog,38.1
Chinese Crested,4.6
Labrador Retriever,29.6
Old English Sheepdog,34.4
Bulldog,20.0
Cocker Spaniel,11.6
Australian Cattle Dog,17.8
Mastiff,87.5
Irish Wolfhound,49.6
Lagotto Romagnolo,14.3
Shiba Inu,9.4
Rottweiler,47.7
Wirehaired Pointing Griffon,23.4
Soft Coated Wheaten Terrier,15.0
Dalmatian,24.7
Keeshond,17.9
Miniature Schnauzer,7.7
Australian Shepherd,19.1
Golden Retriever,27.4
German Shepherd Dog,31.9
Rottweiler,48.8
Bulldog,20.3
Bulldog,20.9
Labrador Retriever,28.9
Miniature American Shepherd,12.6
Boxer,23.2
Cavalier King Charles Spaniel,7.0
Chesapeake Bay Retriever,31.2
Chesapeake Bay Retriever,26.7
Poodle (Miniature),6.1
Shih Tzu,5.8
Soft Coated Wheaten Terrier,15.9
Pug,7.2
German Shorthaired Pointer,30.0
Rhodesian Ridgeback,35.0
Basset Hound,23.4
Boykin Spaniel,14.2
Anatolian Shepherd Dog,50.1
French Bulldog,12.7
Leonberger,56.4
Chesapeake Bay Retriever,32.3
Boston Terrier,10.1
Leonberger,60.4
Labrador Retriever,28.8
Pembroke Welsh Corgi,13.0
Great Pyrenees,42.2
Yorkshire Terrier,3.2
Anatolian Shepherd Dog,61.2
Poodle (Toy),2.1
American Staffordshire Terrier,23.7
English Setter,29.5
Bernese Mountain Dog,50.4
Airedale Terrier,27.8
Dachshund,10.9
Greater Swiss Mountain Dog,61.6
Shih Tzu,5.5
Weimaraner,33.7
Great Pyrenees,41.5
Newfoundland,55.4
Rhodesian Ridgeback,34.5
Bichon Frise,7.2
Chinese Shar-Pei,24.4
Soft Coated Wheaten Terrier,16.0
Samoyed,21.8
Border Terrier,5.6
Dachshund,9.1
Pembroke Welsh Corgi,12.8
Pomeranian,2.4
Boykin Spaniel,15.3
Weimaraner,34.4
Poodle (Toy),2.3
German Shorthaired Pointer,28.6
Chow Chow,28.3
Poodle (Standard),26.1
Rottweiler,53.7
Maltese,3.2
Doberman Pinscher,35.0
Labrador Retriever,27.8
Australian Cattle Dog,19.4
Shiba Inu,8.8
Boston Terrier,9.8
Bull Terrier,27.4
Boxer,26.6
French Bulldog,12.7
Irish Wolfhound,52.4
Golden Retriever,28.3
Newfoundland,53.6
Bloodhound,40.6
Boston Terrier,7.5
German Shepherd Dog,34.2
Pembroke Welsh Corgi,13.1
Bernese Mountain Dog,45.7
German Shorthaired Pointer,22.7
Dachshund,9.3
Labrador Retriever,29.6
Papillon,2.8
German Shepherd Dog,31.1
Cardigan Welsh Corgi,16.0
Shih Tzu,6.4
Cavalier King Charles Spaniel,6.3
Akita,47.0
German Shepherd Dog,32.8
German Shorthaired Pointer,25.8
Maltese,3.2
French Bulldog,12.7
Havanese,5.2
Bloodhound,43.7
Italian Greyhound,5.1
Staffordshire Bull Terrier,12.9
Yorkshire Terrier,3.2
Australian Cattle Dog,19.9
Bulldog,20.2
Siberian Husky,20.4
Collie,29.3
Dachshund,6.6
Beagle,10.3
Saint Bernard,72.1
Poodle (Standard),23.4
Dachshund,8.7
Chihuahua,2.7
Nova Scotia Duck Tolling Retriever,17.7
French Bulldog,12.7
Bullmastiff,54.2
Golden Retriever,31.2
German Shepherd Dog,33.6
Border Collie,16.9
Doberman Pinscher,30.6
Poodle (Miniature),5.6
German Shorthaired Pointer,25.7
Rottweiler,55.8
Papillon,3.3
Border Collie,15.5
Samoyed,18.5
English Springer Spaniel,22.6
Doberman Pinscher,41.8
Brussels Griffon,4.1
Beagle,12.3
Weimaraner,31.2
Poodle (Standard),26.5
Old English Sheepdog,34.3
Yorkshire Terrier,3.2
Border Collie,18.7
Bullmastiff,53.0
Pembroke Welsh Corgi,13.1
Labrador Retriever,27.5
Rottweiler,50.3
Labrador Retriever,30.9
Golden Retriever,32.4
Bouvier des Flandres,41.4
Alaskan Malamute,37.8
Bichon Frise,6.9
Norwegian Elkhound,23.5
Saint Bernard,67.2
Border Collie,18.7
Border Terrier,6.3
Miniature American Shepherd,14.4
Basenji,10.4
Beagle,11.7
Coton de Tulear,5.6
Anatolian Shepherd Dog,55.6
Australian Shepherd,24.7
Irish Setter,30.4
Bulldog,21.1
Australian Shepherd,22.7
Chinese Crested,4.9
Labrador Retriever,27.0
Brittany,16.3
French Bulldog,12.7
Golden Retriever,31.8
Basset Hound,23.5
Poodle (Toy),2.5
Yorkshire Terrier,3.2
French Bulldog,12.7
Poodle (Toy),2.5
Havanese,3.9
Samoyed,20.8
Lhasa Apso,6.3
Doberman Pinscher,36.1
Mastiff,73.5
Havanese,4.0
German Shepherd Dog,34.0
Wirehaired Pointing Griffon,22.1
Doberman Pinscher,34.2
Lhasa Apso,6.6
Collie,30.9
Labrador Retriever,32.4
Bloodhound,37.5
Dachshund,11.0
Chinese Shar-Pei,24.3
Siberian Husky,20.5
German Shorthaired Pointer,25.0
Dachshund,10.9
Cocker Spaniel,10.3
Poodle (Standard),24.9
Miniature American Shepherd,12.0
Tibetan Terrier,9.8
Lhasa Apso,6.1
Cavalier King Charles Spaniel,6.9
Great Pyrenees,42.4
Mastiff,75.3
Nova Scotia Duck Tolling Retriever,17.5
Labrador Retriever,30.4
German Shorthaired Pointer,22.1
Dalmatian,24.7
Poodle (Toy),2.6
French Bulldog,12.7
Flat-Coated Retriever,28.9
Bloodhound,43.1
Maltese,3.2
Airedale Terrier,28.0
Miniature Schnauzer,6.2
Poodle (Miniature),5.0
Bullmastiff,51.7
Labrador Retriever,33.4
Beagle,10.3
Italian Greyhound,5.5
French Bulldog,12.7
Labrador Retriever,32.1
Basenji,10.3
Great Dane,71.3
Rhodesian Ridgeback,33.6
German Shepherd Dog,31.3
English Cocker Spaniel,13.1
Pug,6.7
Leonberger,56.3
Greater Swiss Mountain Dog,55.2
Vizsla,21.5
Bichon Frise,6.7
Golden Retriever,30.4
Yorkshire Terrier,3.2
Labrador Retriever,32.9
Poodle (Standard),26.2
Bloodhound,41.0
German Shorthaired Pointer,24.3
Golden Retriever,27.8
Poodle (Toy),2.4
Old English Sheepdog,38.2
Golden Retriever,28.4
Coton de Tulear,5.1
Border Collie,16.1
Dachshund,8.7
Boston Terrier,7.9
Bernese Mountain Dog,43.1
Boxer,25.3
German Shepherd Dog,33.8
German Shorthaired Pointer,26.1
Cavalier King Charles Spaniel,7.6
Shetland Sheepdog,8.1
Miniature Schnauzer,6.1
Cardigan Welsh Corgi,14.9
Great Pyrenees,41.1
Nova Scotia Duck Tolling Retriever,20.3
Doberman Pinscher,38.3
Cocker Spaniel,13.0
Bullmastiff,54.7
Labrador Retriever,32.6
Great Dane,59.2
Poodle (Toy),2.0
German Shepherd Dog,27.0
Doberman Pinscher,36.0
Poodle (Miniature),5.6
German Shorthaired Pointer,25.7
Rottweiler,41.0
French Bulldog,12.7
Dalmatian,26.6
Labrador Retriever,32.0
Miniature Schnauzer,7.1
Norwegian Elkhound,22.9
Labrador Retriever,28.4
Pug,7.5
Samoyed,21.4
Labrador Retriever,27.6
Golden Retriever,28.4
Irish Setter,29.4
Doberman Pinscher,37.9
Boston Terrier,8.6
Bloodhound,45.2
Pomeranian,2.3
Miniature American Shepherd,16.1
German Shepherd Dog,32.8
German Shepherd Dog,31.3
Giant Schnauzer,31.3
Alaskan Malamute,35.6
Anatolian Shepherd Dog,52.7
Golden Retriever,28.6
Siberian Husky,20.2
Chow Chow,24.6
Cavalier King Charles Spaniel,6.8
Russell Terrier,4.5
Labrador Retriever,31.2
Weimaraner,34.3
American Staffordshire Terrier,25.4
German Shepherd Dog,31.0
Golden Retriever,30.3
Border Terrier,6.0
Bulldog,18.8
Maltese,3.2
Labrador Retriever,33.0
Poodle (Miniature),5.7
Dalmatian,26.2
Shiba Inu,9.4
Miniature Schnauzer,8.2
Labrador Retriever,32.1
Labrador Retriever,32.4
Beagle,9.3
Newfoundland,61.1
Anatolian Shepherd Dog,42.2
Standard Schnauzer,21.4
Brittany,15.3
Coton de Tulear,5.2
Giant Schnauzer,31.0
Golden Retriever,29.9
Portuguese Water Dog,21.8
Newfoundland,53.1
Labrador Retriever,32.3
Chihuahua,2.7
English Setter,30.6
Weimaraner,33.4
Chow Chow,28.1
Chow Chow,25.1
Newfoundland,56.6
Cavalier King Charles Spaniel,6.8
Papillon,3.4
Cavalier King Charles Spaniel,6.9
Rottweiler,47.2
Poodle (Standard),25.8
Bulldog,19.0
Rottweiler,50.4
Irish Wolfhound,51.7
Labrador Retriever,31.8
Chinese Shar-Pei,21.9
Pembroke Welsh Corgi,12.8
Australian Shepherd,25.3
Basset Hound,25.2
French Bulldog,12.7
English Springer Spaniel,21.1
Pug,7.5
Miniature Schnauzer,7.0
Golden Retriever,30.5
Bichon Frise,6.9
Soft Coated Wheaten Terrier,16.3
Standard Schnauzer,16.1
Pembroke Welsh Corgi,13.3
French Bulldog,12.7
Cocker Spaniel,10.3
German Shepherd Dog,33.3
English Springer Spaniel,20.3
Tibetan Terrier,10.9
Australian Shepherd,25.0
Border Collie,19.3
Miniature American Shepherd,15.2
Havanese,3.8
German Shepherd Dog,29.8
Doberman Pinscher,32.7
Brittany,15.4
Pembroke Welsh Corgi,13.1
Miniature Schnauzer,7.1
Basset Hound,22.5
Labrador Retriever,31.5
Boykin Spaniel,13.0
Yorkshire Terrier,3.2
Labrador Retriever,31.6
Nova Scotia Duck Tolling Retriever,17.8
Labrador Retriever,29.5
Greater Swiss Mountain Dog,43.9
Collie,29.1
Giant Schnauzer,31.9
English Springer Spaniel,19.3
Boykin Spaniel,14.5
Chesapeake Bay Retriever,31.7
Pembroke Welsh Corgi,13.5
Golden Retriever,27.0
Havanese,5.2
Australian Cattle Dog,18.5
Yorkshire Terrier,3.2
German Shepherd Dog,33.5
Yorkshire Terrier,3.2
Doberman Pinscher,33.2
Doberman Pinscher,40.0
French Bulldog,12.7
Bulldog,21.0
Pug,7.3
Brittany,14.4
Pembroke Welsh Corgi,13.2
American Staffordshire Terrier,22.9
Staffordshire Bull Terrier,13.4
Siberian Husky,19.0
Vizsla,23.4
Havanese,4.3
Shih Tzu,5.2
Dachshund,13.1
Labrador Retriever,28.2
Standard Schnauzer,18.9
Rhodesian Ridgeback,36.0
Miniature Schnauzer,6.5
Flat-Coated Retriever,29.2
Pekingese,6.4
Chinese Shar-Pei,23.9
English Setter,27.4
Bulldog,21.5
Cardigan Welsh Corgi,15.8
Bloodhound,41.3
Boston Terrier,8.0
Pembroke Welsh Corgi,13.1
Labrador Retriever,28.0
Pomeranian,1.9
Akita,37.9
Weimaraner,28.3
Boykin Spaniel,13.6
French Bulldog,12.7
Rat Terrier,8.4
Australian Cattle Dog,18.9
Rhodesian Ridgeback,33.0
Miniature American Shepherd,15.4
Pug,7.7
Alaskan Malamute,37.0
Brittany,16.6
Siberian Husky,21.9
Poodle (Miniature),5.6
Bernese Mountain Dog,46.5
Rottweiler,48.3
French Bulldog,12.7
French Bulldog,12.7
Shih Tzu,5.4
Australian Shepherd,23.6
Alaskan Malamute,36.3
Bulldog,19.7
Anatolian Shepherd Dog,47.2
Airedale Terrier,29.0
French Bulldog,12.7
Labrador Retriever,31.8
Labrador Retriever,31.2
Norwegian Elkhound,23.5
Giant Schnauzer,36.4
French Bulldog,12.7
Labrador Retriever,34.1
Miniature Schnauzer,7.6
Doberman Pinscher,40.6
Dalmatian,30.1
Poodle (Standard),25.3
Lhasa Apso,6.3
English Springer Spaniel,21.0
Lhasa Apso,7.5
Keeshond,17.9
Rottweiler,50.1
Yorkshire Terrier,3.2
Rottweiler,53.3
Boston Terrier,8.9
Vizsla,22.8
Labrador Retriever,30.9
Australian Shepherd,22.8
Airedale Terrier,25.1
English Cocker Spaniel,13.8
Labrador Retriever,29.5
Golden Retriever,27.4
German Shepherd Dog,35.5
Siberian Husky,22.6
Wirehaired Pointing Griffon,21.1
Poodle (Toy),2.3
German Shepherd Dog,36.1
Mastiff,84.0
Norwegian Elkhound,23.7
Nova Scotia Duck Tolling Retriever,17.4
Labrador Retriever,31.3
Pembroke Welsh Corgi,13.2
German Shepherd Dog,28.7
Dachshund,13.6
Dachshund,12.7
Havanese,4.7
Pomeranian,2.4
Irish Setter,29.1
French Bulldog,12.7
Pembroke Welsh Corgi,13.4
Golden Retriever,27.6
Whippet,15.5
Chinese Crested,4.5
Bulldog,21.0
German Shorthaired Pointer,23.3
German Shepherd Dog,35.7
German Shorthaired Pointer,27.1
Samoyed,25.4
German Wirehaired Pointer,25.3
Chinese Crested,3.9
Miniature American Shepherd,11.7
Dachshund,10.3
Bernese Mountain Dog,37.7
Labrador Retriever,28.8
Beagle,9.0
German Shepherd Dog,34.8
Yorkshire Terrier,3.2
German Shepherd Dog,33.0
Maltese,3.2
Beagle,10.1
Miniature American Shepherd,15.8
Irish Wolfhound,51.8
Cardigan Welsh Corgi,13.6
French Bulldog,12.7
Bull Terrier,25.5
Boxer,14.4
Russell Terrier,5.7
Bernese Mountain Dog,37.0
Rottweiler,53.7
Irish Setter,27.9
Dachshund,11.0
Whippet,15.1
Pug,7.5
Bull Terrier,28.1
Boston Terrier,5.8
Beagle,10.5
Miniature Schnauzer,7.4
Labrador Retriever,29.2
Beagle,8.6
German Shepherd Dog,25.5
Italian Greyhound,5.1
Brittany,16.1
Poodle (Standard),21.5
Beagle,10.2
Collie,27.8
Russell Terrier,5.7
Cocker Spaniel,11.6
Bloodhound,42.0
Cairn Terrier,6.1
American Staffordshire Terrier,28.6
Pembroke Welsh Corgi,13.0
Soft Coated Wheaten Terrier,16.2
Great Pyrenees,44.8
Bernese Mountain Dog,33.1
Border Collie,19.6
Anatolian Shepherd Dog,55.3
Lhasa Apso,7.3
Poodle (Toy),2.1
Weimaraner,31.7
Chinese Shar-Pei,23.1
Shetland Sheepdog,8.3
Golden Retriever,28.7
Golden Retriever,28.0
Cocker Spaniel,12.5
Shiba Inu,9.3
Border Terrier,6.2
German Shorthaired Pointer,27.7
Leonberger,59.7
Alaskan Malamute,37.1
German Shorthaired Pointer,26.2
French Bulldog,12.7
French Bulldog,12.7
Papillon,3.6
Boxer,22.5
Boxer,20.9
Beagle,10.1
Saint Bernard,72.0
Cavalier King Charles Spaniel,7.0
Papillon,4.0
Doberman Pinscher,38.6
Havanese,4.7
Rhodesian Ridgeback,36.0
German Shepherd Dog,27.2
Labrador Retriever,31.9
Poodle (Miniature),6.2
Vizsla,22.8
Newfoundland,58.3
Yorkshire Terrier,3.2
Weimaraner,32.1
Australian Cattle Dog,21.5
West Highland White Terrier,8.3
Alaskan Malamute,35.7
Great Dane,63.3
Dachshund,7.0
German Shorthaired Pointer,26.0
Doberman Pinscher,40.2
Cocker Spaniel,11.7
Yorkshire Terrier,3.2
German Shepherd Dog,32.3
German Shepherd Dog,32.4
Bernese Mountain Dog,44.9
Havanese,4.6
Pug,6.9
Poodle (Miniature),6.1
Havanese,3.5
Airedale Terrier,26.9
Miniature Schnauzer,6.6
Pembroke Welsh Corgi,13.2
Maltese,3.2
French Bulldog,12.7
Wirehaired Pointing Griffon,24.8
Golden Retriever,28.7
German Shepherd Dog,30.6
Dachshund,8.5
Border Collie,14.1
Yorkshire Terrier,3.2
Havanese,4.4
